ダウンロード実行日,2026年08月08日現在,件数,6369件
ファンドコード,証券コード,ファンド名,ファンド名（ヨミ）,特定有価証券区分名,特定期1,特定期2,ＥＤＩＮＥＴコード,発行者名
"G01726","","三井住友・日本株オープン","ミツイスミトモニホンカブオープン","内国投資信託受益証券","9月27日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01730","","三井住友・株式アナライザー・オープン","ミツイスミトモカブシキアナライザーオープン","内国投資信託受益証券","4月22日","10月22日","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01731","","三井住友・２２５オープン","ミツイスミトモニィニィゴオープン","内国投資信託受益証券","11月10日","","E08957","三井住友ＤＳアセットマネジメント株式会社"
"G01746","","シュローダー日本ファンド","シュローダーニホンファンド","内国投資信託受益証券","2月24日","8月24日","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G01748","","シュローダー日本株式オープン","シュローダーニホンカブシキオープン","内国投資信託受益証券","11月20日","","E12586","シュローダー・インベストメント・マネジメント株式会社"
"G01754","","追加型・公社債証券投資信託（１２月設定）","ツイカガタコウシャサイショウケントウシシンタクジュウニガツセッテイ","内国投資信託受益証券","12月19日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01761","","夢楽章　日経平均オープン","ユメガクショウニッケイヘイキンオープン","内国投資信託受益証券","11月10日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01773","","グローバル・エマージング・ボンド・オープン","グローバルエマージングボンドオープン","内国投資信託受益証券","5月10日","11月10日","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01780","","三菱ＵＦＪ　ＮＡＳＤＡＱオープン　Ａコース／Ｂコース","ミツビシユーエフジェイナスダックオープンエーコースビーコース","内国投資信託受益証券","7月31日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01784","","三菱ＵＦＪ　チャイナオープン","ミツビシユーエフジェイチャイナオープン","内国投資信託受益証券","9月20日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01799","","三菱ＵＦＪ　積立ファンド（日本バランス型）","ミツビシユーエフジェイツミタテファンドニホンバランスガタ","内国投資信託受益証券","7月22日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01800","","三菱ＵＦＪ　グローバルバランス（安定型）／（積極型）","ミツビシユーエフジェイグローバルバランスアンテイガタセッキョクガタ","内国投資信託受益証券","7月22日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01807","","インデックスファンド２２５","インデックスファンドニイニイゴ","内国投資信託受益証券","5月22日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01809","","トピックスオープン","トピックスオープン","内国投資信託受益証券","3月14日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01812","","ＪＡＰＡＮスタンダードオープン","ジャパンスタンダードオープン","内国投資信託受益証券","9月16日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01819","","Ｊオープン（小型株）","ジェイオープンコガタカブ","内国投資信託受益証券","6月29日","","E11518","三菱ＵＦＪアセットマネジメント株式会社"
"G01822","","フィデリティ・ジャパン・オープン","フィデリティジャパンオープン","内国投資信託受益証券","3月21日","9月21日","E12481","フィデリティ投信株式会社"
"G01823","","フィデリティ・欧州中小型株・オープンＡコース（為替ヘッジ付き）　フィデリティ・欧州中小型株・オープンＢコース（為替ヘッジなし）","フィデリティオウシュウチュウコガタカブオープンエイコースカワセヘッジツキ　フィデリティオウシュウチュウコガタカブオープンビーコースカワセヘッジナシ","内国投資信託受益証券","5月30日","11月30日","E12481","フィデリティ投信株式会社"
"G01824","","フィデリティ・グローバル・エクイティ・オープンＡコース（限定為替ヘッジ）　フィデリティ・グローバル・エクイティ・オープンＢコース（為替ヘッジなし）","フィデリティグローバルエクイティオープンエイコースゲンテイカワセヘッジ　フィデリティグローバルエクイティオープンビーコースカワセヘッジナシ","内国投資信託受益証券","1月31日","7月31日","E12481","フィデリティ投信株式会社"
"G01825","","フィデリティ・ハイ・イールド・ボンド・オープンポートフォリオＡ（為替ヘッジなし）","フィデリティハイイールドボンドオープンポートフォリオエイカワセヘッジナシ","内国投資信託受益証券","5月22日","11月22日","E12481","フィデリティ投信株式会社"
"G01826","","フィデリティ・ストラテジック・インカム・ファンドＡコース（為替ヘッジ付き）　フィデリティ・ストラテジック・インカム・ファンドＢコース（為替ヘッジなし）","フィデリティストラテジックインカムファンドエイコースカワセヘッジツキ　フィデリティストラテジックインカムファンドビーコースカワセヘッジナシ","内国投資信託受益証券","1月20日","7月20日","E12481","フィデリティ投信株式会社"
"G01827","","フィデリティ・グローバル・ファンド","フィデリティグローバルファンド","内国投資信託受益証券","11月30日","","E12481","フィデリティ投信株式会社"
"G01828","","フィデリティ・バランス・ファンド","フィデリティバランスファンド","内国投資信託受益証券","11月30日","","E12481","フィデリティ投信株式会社"
"G01829","","フィデリティ・日本成長株・ファンド","フィデリティニホンセイチョウカブファンド","内国投資信託受益証券","11月30日","","E12481","フィデリティ投信株式会社"
"G01830","","フィデリティ・日本小型株・ファンド","フィデリティニホンコガタカブファンド","内国投資信託受益証券","11月30日","","E12481","フィデリティ投信株式会社"
"G01831","","フィデリティ・欧州株・ファンド","フィデリティオウシュウカブファンド","内国投資信託受益証券","11月30日","","E12481","フィデリティ投信株式会社"
"G01832","","フィデリティ・米国優良株・ファンド","フィデリティベイコクユウリョウカブファンド","内国投資信託受益証券","11月30日","","E12481","フィデリティ投信株式会社"
"G01833","","フィデリティ・ＵＳハイ・イールド・ファンド（毎月決算型）Ｂ（為替ヘッジなし）","フィデリティユーエスハイイールドファンドマイツキケッサンガタビーカワセヘッジナシ","内国投資信託受益証券","5月22日","11月22日","E12481","フィデリティ投信株式会社"
